faction,section,unit,cost_tier,models,points,version
blood-angels,SPACE MARINES,BLADEGUARD VETERAN SQUAD,YOUR 1ST TO 2ND UNITS COST,3,85,v1.0
blood-angels,SPACE MARINES,BLADEGUARD VETERAN SQUAD,YOUR 1ST TO 2ND UNITS COST,6,170,v1.0
blood-angels,SPACE MARINES,BLADEGUARD VETERAN SQUAD,YOUR 3RD + UNIT COSTS,3,95,v1.0
blood-angels,SPACE MARINES,BLADEGUARD VETERAN SQUAD,YOUR 3RD + UNIT COSTS,6,180,v1.0
blood-angels,SPACE MARINES,BRUTALIS DREADNOUGHT,YOUR 1ST TO 2ND UNITS COST,1,150,v1.0
blood-angels,SPACE MARINES,BRUTALIS DREADNOUGHT,YOUR 3RD + UNIT COSTS,1,160,v1.0
blood-angels,SPACE MARINES,CAPTAIN,YOUR UNIT COSTS,1,80,v1.0
blood-angels,SPACE MARINES,CAPTAIN IN GRAVIS ARMOUR,YOUR UNIT COSTS,1,80,v1.0
blood-angels,SPACE MARINES,CAPTAIN IN PHOBOS ARMOUR,YOUR UNIT COSTS,1,70,v1.0
blood-angels,SPACE MARINES,CAPTAIN IN TERMINATOR ARMOUR,YOUR UNIT COSTS,1,85,v1.0
blood-angels,SPACE MARINES,CAPTAIN WITH JUMP PACK,YOUR UNIT COSTS,1,80,v1.0
blood-angels,SPACE MARINES,CENTURION ASSAULT SQUAD,YOUR UNIT COSTS,3,150,v1.0
blood-angels,SPACE MARINES,CENTURION ASSAULT SQUAD,YOUR UNIT COSTS,6,300,v1.0
blood-angels,SPACE MARINES,CENTURION DEVASTATOR SQUAD,YOUR UNIT COSTS,3,175,v1.0
blood-angels,SPACE MARINES,CENTURION DEVASTATOR SQUAD,YOUR UNIT COSTS,6,350,v1.0
blood-angels,SPACE MARINES,CHAPLAIN,YOUR UNIT COSTS,1,60,v1.0
blood-angels,SPACE MARINES,CHAPLAIN IN TERMINATOR ARMOUR,YOUR UNIT COSTS,1,75,v1.0
blood-angels,SPACE MARINES,CHAPLAIN ON BIKE,YOUR UNIT COSTS,1,70,v1.0
blood-angels,SPACE MARINES,CHAPLAIN WITH JUMP PACK,YOUR UNIT COSTS,1,80,v1.0
blood-angels,SPACE MARINES,COMPANY HEROES,YOUR UNIT COSTS,4,105,v1.0
blood-angels,SPACE MARINES,DESOLATION SQUAD,YOUR 1ST UNIT COSTS,5,180,v1.0
blood-angels,SPACE MARINES,DESOLATION SQUAD,YOUR 2ND + UNIT COSTS,5,210,v1.0
blood-angels,SPACE MARINES,DEVASTATOR SQUAD,YOUR UNIT COSTS,5,120,v1.0
blood-angels,SPACE MARINES,DEVASTATOR SQUAD,YOUR UNIT COSTS,10,200,v1.0
blood-angels,SPACE MARINES,DREADNOUGHT,YOUR UNIT COSTS,1,135,v1.0
blood-angels,SPACE MARINES,DROP POD,YOUR UNIT COSTS,1,70,v1.0
blood-angels,SPACE MARINES,ELIMINATOR SQUAD,YOUR UNIT COSTS,3,75,v1.0
blood-angels,SPACE MARINES,ERADICATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,3,90,v1.0
blood-angels,SPACE MARINES,ERADICATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,6,180,v1.0
blood-angels,SPACE MARINES,ERADICATOR SQUAD,YOUR 3RD + UNIT COSTS,3,100,v1.0
blood-angels,SPACE MARINES,ERADICATOR SQUAD,YOUR 3RD + UNIT COSTS,6,190,v1.0
blood-angels,SPACE MARINES,ERADICATOR SQUAD WITH HEAVY BOLTERS,YOUR 1ST TO 2ND UNITS COST,3,70,v1.0
blood-angels,SPACE MARINES,ERADICATOR SQUAD WITH HEAVY BOLTERS,YOUR 3RD + UNIT COSTS,3,80,v1.0
blood-angels,SPACE MARINES,FIRESTRIKE SERVO-TURRETS,YOUR UNIT COSTS,1,75,v1.0
blood-angels,SPACE MARINES,FIRESTRIKE SERVO-TURRETS,YOUR UNIT COSTS,2,150,v1.0
blood-angels,SPACE MARINES,GLADIATOR LANCER,YOUR 1ST TO 2ND UNITS COST,1,160,v1.0
blood-angels,SPACE MARINES,GLADIATOR LANCER,YOUR 3RD + UNIT COSTS,1,170,v1.0
blood-angels,SPACE MARINES,GLADIATOR REAPER,YOUR 1ST TO 2ND UNITS COST,1,160,v1.0
blood-angels,SPACE MARINES,GLADIATOR REAPER,YOUR 3RD + UNIT COSTS,1,170,v1.0
blood-angels,SPACE MARINES,GLADIATOR VALIANT,YOUR 1ST TO 2ND UNITS COST,1,150,v1.0
blood-angels,SPACE MARINES,GLADIATOR VALIANT,YOUR 3RD + UNIT COSTS,1,160,v1.0
blood-angels,SPACE MARINES,HAMMERFALL BUNKER,YOUR UNIT COSTS,1,175,v1.0
blood-angels,SPACE MARINES,HEAVY INTERCESSOR SQUAD,YOUR UNIT COSTS,5,100,v1.0
blood-angels,SPACE MARINES,HEAVY INTERCESSOR SQUAD,YOUR UNIT COSTS,10,200,v1.0
blood-angels,SPACE MARINES,HELLBLASTER SQUAD,YOUR UNIT COSTS,5,110,v1.0
blood-angels,SPACE MARINES,HELLBLASTER SQUAD,YOUR UNIT COSTS,10,220,v1.0
blood-angels,SPACE MARINES,IMPULSOR,YOUR UNIT COSTS,1,80,v1.0
blood-angels,SPACE MARINES,INCEPTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,3,120,v1.0
blood-angels,SPACE MARINES,INCEPTOR SQUAD,YOUR 1ST TO 2ND UNITS COST,6,240,v1.0
blood-angels,SPACE MARINES,INCEPTOR SQUAD,YOUR 3RD + UNIT COSTS,3,135,v1.0
blood-angels,SPACE MARINES,INCEPTOR SQUAD,YOUR 3RD + UNIT COSTS,6,255,v1.0
blood-angels,SPACE MARINES,INCURSOR SQUAD,YOUR 1ST TO 2ND UNITS COST,5,85,v1.0
blood-angels,SPACE MARINES,INCURSOR SQUAD,YOUR 1ST TO 2ND UNITS COST,10,150,v1.0
blood-angels,SPACE MARINES,INCURSOR SQUAD,YOUR 3RD + UNIT COSTS,5,95,v1.0
blood-angels,SPACE MARINES,INCURSOR SQUAD,YOUR 3RD + UNIT COSTS,10,160,v1.0
blood-angels,SPACE MARINES,INFERNUS SQUAD,YOUR UNIT COSTS,5,85,v1.0
blood-angels,SPACE MARINES,INFERNUS SQUAD,YOUR UNIT COSTS,10,170,v1.0
blood-angels,SPACE MARINES,INFILTRATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,5,110,v1.0
blood-angels,SPACE MARINES,INFILTRATOR SQUAD,YOUR 1ST TO 2ND UNITS COST,10,180,v1.0
blood-angels,SPACE MARINES,INFILTRATOR SQUAD,YOUR 3RD + UNIT COSTS,5,120,v1.0
blood-angels,SPACE MARINES,INFILTRATOR SQUAD,YOUR 3RD + UNIT COSTS,10,190,v1.0
blood-angels,SPACE MARINES,INTERCESSOR SQUAD,YOUR UNIT COSTS,5,80,v1.0
blood-angels,SPACE MARINES,INTERCESSOR SQUAD,YOUR UNIT COSTS,10,150,v1.0
blood-angels,SPACE MARINES,INVADER ATV,YOUR UNIT COSTS,1,60,v1.0
blood-angels,SPACE MARINES,INVICTOR TACTICAL WARSUIT,YOUR UNIT COSTS,1,125,v1.0
blood-angels,SPACE MARINES,JUDICIAR,YOUR UNIT COSTS,1,55,v1.0
blood-angels,SPACE MARINES,LAND RAIDER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
blood-angels,SPACE MARINES,LAND RAIDER,YOUR 3RD + UNIT COSTS,1,240,v1.0
blood-angels,SPACE MARINES,LAND RAIDER CRUSADER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
blood-angels,SPACE MARINES,LAND RAIDER CRUSADER,YOUR 3RD + UNIT COSTS,1,240,v1.0
blood-angels,SPACE MARINES,LAND RAIDER REDEEMER,YOUR 1ST TO 2ND UNITS COST,1,250,v1.0
blood-angels,SPACE MARINES,LAND RAIDER REDEEMER,YOUR 3RD + UNIT COSTS,1,270,v1.0
blood-angels,SPACE MARINES,LAND SPEEDER,YOUR 1ST TO 2ND UNITS COST,1,95,v1.0
blood-angels,SPACE MARINES,LAND SPEEDER,YOUR 3RD + UNIT COSTS,1,105,v1.0
blood-angels,SPACE MARINES,LIBRARIAN,YOUR UNIT COSTS,1,60,v1.0
blood-angels,SPACE MARINES,LIBRARIAN IN PHOBOS ARMOUR,YOUR UNIT COSTS,1,70,v1.0
blood-angels,SPACE MARINES,LIBRARIAN IN TERMINATOR ARMOUR,YOUR UNIT COSTS,1,75,v1.0
blood-angels,SPACE MARINES,LIEUTENANT,YOUR UNIT COSTS,1,45,v1.0
blood-angels,SPACE MARINES,LIEUTENANT IN PHOBOS ARMOUR,YOUR UNIT COSTS,1,45,v1.0
blood-angels,SPACE MARINES,LIEUTENANT IN REIVER ARMOUR,YOUR UNIT COSTS,1,45,v1.0
blood-angels,SPACE MARINES,LIEUTENANT WITH COMBI-WEAPON,YOUR UNIT COSTS,1,85,v1.0
blood-angels,SPACE MARINES,OUTRIDER SQUAD,YOUR UNIT COSTS,3,75,v1.0
blood-angels,SPACE MARINES,OUTRIDER SQUAD,YOUR UNIT COSTS,6,140,v1.0
blood-angels,SPACE MARINES,OUTRIDER SQUAD,YOUR UNIT COSTS,1,60,v1.0
blood-angels,SPACE MARINES,PREDATOR ANNIHILATOR,YOUR 1ST TO 2ND UNITS COST,1,135,v1.0
blood-angels,SPACE MARINES,PREDATOR ANNIHILATOR,YOUR 3RD + UNIT COSTS,1,145,v1.0
blood-angels,SPACE MARINES,PREDATOR DESTRUCTOR,YOUR 1ST TO 2ND UNITS COST,1,140,v1.0
blood-angels,SPACE MARINES,PREDATOR DESTRUCTOR,YOUR 3RD + UNIT COSTS,1,150,v1.0
blood-angels,SPACE MARINES,RAZORBACK,YOUR UNIT COSTS,1,95,v1.0
blood-angels,SPACE MARINES,REDEMPTOR DREADNOUGHT,YOUR 1ST TO 2ND UNITS COST,1,195,v1.0
blood-angels,SPACE MARINES,REDEMPTOR DREADNOUGHT,YOUR 3RD + UNIT COSTS,1,210,v1.0
blood-angels,SPACE MARINES,REDEMPTOR DREADNOUGHT,WARGEAR OPTIONS,,10,v1.0
blood-angels,SPACE MARINES,REIVER SQUAD,YOUR UNIT COSTS,5,75,v1.0
blood-angels,SPACE MARINES,REIVER SQUAD,YOUR UNIT COSTS,10,150,v1.0
blood-angels,SPACE MARINES,REPULSOR,YOUR 1ST TO 2ND UNITS COST,1,170,v1.0
blood-angels,SPACE MARINES,REPULSOR,YOUR 3RD + UNIT COSTS,1,190,v1.0
blood-angels,SPACE MARINES,REPULSOR EXECUTIONER,YOUR 1ST TO 2ND UNITS COST,1,230,v1.0
blood-angels,SPACE MARINES,REPULSOR EXECUTIONER,YOUR 3RD + UNIT COSTS,1,250,v1.0
blood-angels,SPACE MARINES,RHINO,YOUR UNIT COSTS,1,75,v1.0
blood-angels,SPACE MARINES,SCOUT SQUAD,YOUR 1ST TO 2ND UNITS COST,5,65,v1.0
blood-angels,SPACE MARINES,SCOUT SQUAD,YOUR 1ST TO 2ND UNITS COST,10,120,v1.0
blood-angels,SPACE MARINES,SCOUT SQUAD,YOUR 3RD + UNIT COSTS,5,75,v1.0
blood-angels,SPACE MARINES,SCOUT SQUAD,YOUR 3RD + UNIT COSTS,10,130,v1.0
blood-angels,SPACE MARINES,STERNGUARD VETERAN SQUAD,YOUR UNIT COSTS,5,100,v1.0
blood-angels,SPACE MARINES,STERNGUARD VETERAN SQUAD,YOUR UNIT COSTS,10,190,v1.0
blood-angels,SPACE MARINES,STORMHAWK INTERCEPTOR,YOUR UNIT COSTS,1,155,v1.0
blood-angels,SPACE MARINES,STORMRAVEN GUNSHIP,YOUR 1ST UNIT COSTS,1,280,v1.0
blood-angels,SPACE MARINES,STORMRAVEN GUNSHIP,YOUR 2ND + UNIT COSTS,1,300,v1.0
blood-angels,SPACE MARINES,STORM SPEEDER HAILSTRIKE,YOUR 1ST TO 2ND UNITS COST,1,105,v1.0
blood-angels,SPACE MARINES,STORM SPEEDER HAILSTRIKE,YOUR 3RD + UNIT COSTS,1,115,v1.0
blood-angels,SPACE MARINES,STORM SPEEDER HAMMERSTRIKE,YOUR 1ST TO 2ND UNITS COST,1,130,v1.0
blood-angels,SPACE MARINES,STORM SPEEDER HAMMERSTRIKE,YOUR 3RD + UNIT COSTS,1,140,v1.0
blood-angels,SPACE MARINES,STORM SPEEDER THUNDERSTRIKE,YOUR 1ST TO 2ND UNITS COST,1,135,v1.0
blood-angels,SPACE MARINES,STORM SPEEDER THUNDERSTRIKE,YOUR 3RD + UNIT COSTS,1,145,v1.0
blood-angels,SPACE MARINES,STORMTALON GUNSHIP,YOUR UNIT COSTS,1,165,v1.0
blood-angels,SPACE MARINES,SUPPRESSOR SQUAD,YOUR UNIT COSTS,3,75,v1.0
blood-angels,SPACE MARINES,TACTICAL SQUAD,YOUR UNIT COSTS,10,140,v1.0
blood-angels,SPACE MARINES,TECHMARINE,YOUR UNIT COSTS,1,55,v1.0
blood-angels,SPACE MARINES,TERMINATOR ASSAULT SQUAD,YOUR UNIT COSTS,5,155,v1.0
blood-angels,SPACE MARINES,TERMINATOR ASSAULT SQUAD,YOUR UNIT COSTS,10,310,v1.0
blood-angels,SPACE MARINES,TERMINATOR ASSAULT SQUAD,WARGEAR OPTIONS,,5,v1.0
blood-angels,SPACE MARINES,TERMINATOR SQUAD,YOUR UNIT COSTS,5,160,v1.0
blood-angels,SPACE MARINES,TERMINATOR SQUAD,YOUR UNIT COSTS,10,320,v1.0
blood-angels,SPACE MARINES,THUNDERHAWK GUNSHIP,YOUR UNIT COSTS,1,840,v1.0
blood-angels,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 1ST TO 2ND UNITS COST,5,105,v1.0
blood-angels,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 1ST TO 2ND UNITS COST,10,210,v1.0
blood-angels,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 3RD + UNIT COSTS,5,115,v1.0
blood-angels,SPACE MARINES,VANGUARD VETERAN SQUAD WITH JUMP PACKS,YOUR 3RD + UNIT COSTS,10,220,v1.0
blood-angels,SPACE MARINES,VINDICATOR,YOUR 1ST TO 2ND UNITS COST,1,185,v1.0
blood-angels,SPACE MARINES,VINDICATOR,YOUR 3RD + UNIT COSTS,1,200,v1.0
blood-angels,SPACE MARINES,WHIRLWIND,YOUR 1ST UNIT COSTS,1,175,v1.0
blood-angels,SPACE MARINES,WHIRLWIND,YOUR 2ND + UNIT COSTS,1,195,v1.0
chaos-daemons,UNITS,BEASTS OF NURGLE,YOUR UNIT COSTS,1,70,v1.0
chaos-daemons,UNITS,BEASTS OF NURGLE,YOUR UNIT COSTS,2,140,v1.0
chaos-daemons,UNITS,BE’LAKOR,YOUR UNIT COSTS,1,390,v1.0
chaos-daemons,UNITS,BLOODCRUSHERS,YOUR 1ST TO 2ND UNITS COST,3,95,v1.0
chaos-daemons,UNITS,BLOODCRUSHERS,YOUR 1ST TO 2ND UNITS COST,6,180,v1.0
chaos-daemons,UNITS,BLOODCRUSHERS,YOUR 3RD + UNIT COSTS,3,105,v1.0
chaos-daemons,UNITS,BLOODCRUSHERS,YOUR 3RD + UNIT COSTS,6,190,v1.0
chaos-daemons,UNITS,BLOODLETTERS,YOUR UNIT COSTS,10,110,v1.0
chaos-daemons,UNITS,BLOODMASTER,YOUR UNIT COSTS,1,65,v1.0
chaos-daemons,UNITS,BLOODTHIRSTER,YOUR 1ST TO 2ND UNITS COST,1,320,v1.0
chaos-daemons,UNITS,BLOODTHIRSTER,YOUR 3RD + UNIT COSTS,1,335,v1.0
chaos-daemons,UNITS,BLUE HORRORS,YOUR UNIT COSTS,10,125,v1.0
chaos-daemons,UNITS,BURNING CHARIOT,YOUR UNIT COSTS,1,115,v1.0
chaos-daemons,UNITS,CHANGECASTER,YOUR UNIT COSTS,1,60,v1.0
chaos-daemons,UNITS,CONTORTED EPITOME,YOUR UNIT COSTS,1,100,v1.0
chaos-daemons,UNITS,DAEMONETTES,YOUR UNIT COSTS,10,90,v1.0
chaos-daemons,UNITS,DAEMON PRINCE OF CHAOS,YOUR UNIT COSTS,1,165,v1.0
chaos-daemons,UNITS,DAEMON PRINCE OF CHAOS WITH WINGS,YOUR UNIT COSTS,1,190,v1.0
chaos-daemons,UNITS,EPIDEMIUS,YOUR UNIT COSTS,1,80,v1.0
chaos-daemons,UNITS,EXALTED FLAMER,YOUR UNIT COSTS,1,65,v1.0
chaos-daemons,UNITS,FATESKIMMER,YOUR UNIT COSTS,1,95,v1.0
chaos-daemons,UNITS,FECULENT GNARLMAW,YOUR UNIT COSTS,1,100,v1.0
chaos-daemons,UNITS,FIENDS,YOUR UNIT COSTS,3,90,v1.0
chaos-daemons,UNITS,FIENDS,YOUR UNIT COSTS,6,180,v1.0
chaos-daemons,UNITS,FLAMERS,YOUR UNIT COSTS,3,65,v1.0
chaos-daemons,UNITS,FLAMERS,YOUR UNIT COSTS,6,130,v1.0
chaos-daemons,UNITS,FLESH HOUNDS,YOUR UNIT COSTS,5,75,v1.0
chaos-daemons,UNITS,FLESH HOUNDS,YOUR UNIT COSTS,10,150,v1.0
chaos-daemons,UNITS,FLUXMASTER,YOUR UNIT COSTS,1,80,v1.0
chaos-daemons,UNITS,GREAT UNCLEAN ONE,YOUR 1ST TO 2ND UNITS COST,1,265,v1.0
chaos-daemons,UNITS,GREAT UNCLEAN ONE,YOUR 3RD + UNIT COSTS,1,280,v1.0
chaos-daemons,UNITS,HELLFLAYERS,YOUR UNIT COSTS,1,80,v1.0
chaos-daemons,UNITS,HELLFLAYERS,YOUR UNIT COSTS,2,160,v1.0
chaos-daemons,UNITS,HORTICULOUS SLIMUX,YOUR UNIT COSTS,1,120,v1.0
chaos-daemons,UNITS,INFERNAL ENRAPTURESS,YOUR UNIT COSTS,1,60,v1.0
chaos-daemons,UNITS,KAIROS FATEWEAVER,YOUR UNIT COSTS,1,295,v1.0
chaos-daemons,UNITS,KARANAK,YOUR UNIT COSTS,1,70,v1.0
chaos-daemons,UNITS,KEEPER OF SECRETS,YOUR 1ST TO 2ND UNITS COST,1,255,v1.0
chaos-daemons,UNITS,KEEPER OF SECRETS,YOUR 3RD + UNIT COSTS,1,270,v1.0
chaos-daemons,UNITS,LORD OF CHANGE,YOUR 1ST TO 2ND UNITS COST,1,300,v1.0
chaos-daemons,UNITS,LORD OF CHANGE,YOUR 3RD + UNIT COSTS,1,315,v1.0
chaos-daemons,UNITS,NURGLINGS,YOUR UNIT COSTS,3,45,v1.0
chaos-daemons,UNITS,NURGLINGS,YOUR UNIT COSTS,6,90,v1.0
chaos-daemons,UNITS,PINK HORRORS,YOUR UNIT COSTS,10,150,v1.0
chaos-daemons,UNITS,PLAGUEBEARERS,YOUR UNIT COSTS,10,115,v1.0
chaos-daemons,UNITS,PLAGUE DRONES,YOUR UNIT COSTS,3,110,v1.0
chaos-daemons,UNITS,PLAGUE DRONES,YOUR UNIT COSTS,6,220,v1.0
chaos-daemons,UNITS,POXBRINGER,YOUR UNIT COSTS,1,55,v1.0
chaos-daemons,UNITS,RENDMASTER ON BLOOD THRONE,YOUR 1ST TO 2ND UNITS COST,1,150,v1.0
chaos-daemons,UNITS,RENDMASTER ON BLOOD THRONE,YOUR 3RD + UNIT COSTS,1,170,v1.0
chaos-daemons,UNITS,ROTIGUS,YOUR UNIT COSTS,1,280,v1.0
chaos-daemons,UNITS,SCREAMERS,YOUR UNIT COSTS,3,80,v1.0
chaos-daemons,UNITS,SCREAMERS,YOUR UNIT COSTS,6,160,v1.0
chaos-daemons,UNITS,SEEKERS,YOUR UNIT COSTS,5,80,v1.0
chaos-daemons,UNITS,SEEKERS,YOUR UNIT COSTS,10,155,v1.0
chaos-daemons,UNITS,SHALAXI HELBANE,YOUR UNIT COSTS,1,340,v1.0
chaos-daemons,UNITS,SKARBRAND,YOUR UNIT COSTS,1,315,v1.0
chaos-daemons,UNITS,SKULL ALTAR,YOUR UNIT COSTS,1,105,v1.0
chaos-daemons,UNITS,SKULL CANNON,YOUR UNIT COSTS,1,90,v1.0
chaos-daemons,UNITS,SKULLMASTER,YOUR UNIT COSTS,1,85,v1.0
chaos-daemons,UNITS,SKULLTAKER,YOUR UNIT COSTS,1,85,v1.0
chaos-daemons,UNITS,SLOPPITY BILEPIPER,YOUR UNIT COSTS,1,55,v1.0
chaos-daemons,UNITS,SOUL GRINDER,YOUR 1ST TO 2ND UNITS COST,1,180,v1.0
chaos-daemons,UNITS,SOUL GRINDER,YOUR 3RD + UNIT COSTS,1,195,v1.0
chaos-daemons,UNITS,SPOILPOX SCRIVENER,YOUR UNIT COSTS,1,60,v1.0
chaos-daemons,UNITS,SYLL’ESSKE,YOUR UNIT COSTS,1,120,v1.0
chaos-daemons,UNITS,THE BLUE SCRIBES,YOUR UNIT COSTS,1,75,v1.0
chaos-daemons,UNITS,THE CHANGELING,YOUR UNIT COSTS,1,105,v1.0
chaos-daemons,UNITS,THE MASQUE OF SLAANESH,YOUR UNIT COSTS,1,95,v1.0
chaos-daemons,UNITS,TORMENTBRINGER,YOUR UNIT COSTS,1,135,v1.0
chaos-daemons,UNITS,TRANCEWEAVER,YOUR UNIT COSTS,1,60,v1.0
chaos-knights,UNITS,CHAOS ACASTUS KNIGHT ASTERIUS,YOUR 1ST UNIT COSTS,1,785,v1.0
chaos-knights,UNITS,CHAOS ACASTUS KNIGHT ASTERIUS,YOUR 2ND + UNIT COSTS,1,860,v1.0
chaos-knights,UNITS,CHAOS ACASTUS KNIGHT PORPHYRION,YOUR 1ST UNIT COSTS,1,725,v1.0
chaos-knights,UNITS,CHAOS ACASTUS KNIGHT PORPHYRION,YOUR 2ND + UNIT COSTS,1,800,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT ACHERON,YOUR 1ST UNIT COSTS,1,370,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT ACHERON,YOUR 2ND + UNIT COSTS,1,385,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT ATRAPOS,YOUR 1ST UNIT COSTS,1,395,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT ATRAPOS,YOUR 2ND + UNIT COSTS,1,415,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT CASTIGATOR,YOUR 1ST UNIT COSTS,1,370,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT CASTIGATOR,YOUR 2ND + UNIT COSTS,1,385,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT LANCER,YOUR 1ST UNIT COSTS,1,395,v1.0
chaos-knights,UNITS,CHAOS CERASTUS KNIGHT LANCER,YOUR 2ND + UNIT COSTS,1,415,v1.0
chaos-knights,UNITS,CHAOS QUESTORIS KNIGHT MAGAERA,YOUR 1ST UNIT COSTS,1,375,v1.0
chaos-knights,UNITS,CHAOS QUESTORIS KNIGHT MAGAERA,YOUR 2ND + UNIT COSTS,1,390,v1.0
chaos-knights,UNITS,CHAOS QUESTORIS KNIGHT STYRIX,YOUR 1ST UNIT COSTS,1,365,v1.0
chaos-knights,UNITS,CHAOS QUESTORIS KNIGHT STYRIX,YOUR 2ND + UNIT COSTS,1,380,v1.0
chaos-knights,UNITS,KNIGHT ABOMINANT,YOUR 1ST TO 2ND UNITS COST,1,355,v1.0
chaos-knights,UNITS,KNIGHT ABOMINANT,YOUR 3RD + UNIT COSTS,1,370,v1.0
chaos-knights,UNITS,KNIGHT DESECRATOR,YOUR 1ST TO 2ND UNITS COST,1,355,v1.0
chaos-knights,UNITS,KNIGHT DESECRATOR,YOUR 3RD + UNIT COSTS,1,370,v1.0
chaos-knights,UNITS,KNIGHT DESPOILER,YOUR 1ST UNIT COSTS,1,380,v1.0
chaos-knights,UNITS,KNIGHT DESPOILER,YOUR 2ND + UNIT COSTS,1,400,v1.0
chaos-knights,UNITS,KNIGHT DESPOILER,WARGEAR OPTIONS,,25,v1.0
chaos-knights,UNITS,KNIGHT DESPOILER,WARGEAR OPTIONS,,15,v1.0
chaos-knights,UNITS,KNIGHT RAMPAGER,YOUR 1ST TO 2ND UNITS COST,1,365,v1.0
chaos-knights,UNITS,KNIGHT RAMPAGER,YOUR 3RD + UNIT COSTS,1,380,v1.0
chaos-knights,UNITS,KNIGHT RUINATOR,YOUR 1ST TO 2ND UNITS COST,1,340,v1.0
chaos-knights,UNITS,KNIGHT RUINATOR,YOUR 3RD + UNIT COSTS,1,355,v1.0
chaos-knights,UNITS,KNIGHT TYRANT,YOUR 1ST UNIT COSTS,1,400,v1.0
chaos-knights,UNITS,KNIGHT TYRANT,YOUR 2ND + UNIT COSTS,1,420,v1.0
chaos-knights,UNITS,WAR DOG BRIGAND,YOUR UNIT COSTS,1,140,v1.0
chaos-knights,UNITS,WAR DOG EXECUTIONER,YOUR UNIT COSTS,1,130,v1.0
chaos-knights,UNITS,WAR DOG HUNTSMAN,YOUR UNIT COSTS,1,140,v1.0
chaos-knights,UNITS,WAR DOG KARNIVORE,YOUR UNIT COSTS,1,155,v1.0
chaos-knights,UNITS,WAR DOG MOIRAX,YOUR 1ST TO 2ND UNITS COST,1,150,v1.0
chaos-knights,UNITS,WAR DOG MOIRAX,YOUR 3RD + UNIT COSTS,1,160,v1.0
chaos-knights,UNITS,WAR DOG STALKER,YOUR UNIT COSTS,1,140,v1.0
chaos-space-marines,UNITS,ABADDON THE DESPOILER,YOUR UNIT COSTS,1,285,v1.0
chaos-space-marines,UNITS,ACCURSED CULTISTS,YOUR 1ST UNIT COSTS,8,90,v1.0
chaos-space-marines,UNITS,ACCURSED CULTISTS,YOUR 1ST UNIT COSTS,16,195,v1.0
chaos-space-marines,UNITS,ACCURSED CULTISTS,YOUR 2ND + UNIT COSTS,8,110,v1.0
chaos-space-marines,UNITS,ACCURSED CULTISTS,YOUR 2ND + UNIT COSTS,16,215,v1.0
chaos-space-marines,UNITS,CHAOS BIKERS,YOUR UNIT COSTS,3,70,v1.0
chaos-space-marines,UNITS,CHAOS BIKERS,YOUR UNIT COSTS,6,130,v1.0
chaos-space-marines,UNITS,CHAOS LAND RAIDER,YOUR 1ST TO 2ND UNITS COST,1,220,v1.0
chaos-space-marines,UNITS,CHAOS LAND RAIDER,YOUR 3RD + UNIT COSTS,1,240,v1.0
chaos-space-marines,UNITS,CHAOS LORD,YOUR UNIT COSTS,1,90,v1.0
chaos-space-marines,UNITS,CHAOS LORD IN TERMINATOR ARMOUR,YOUR UNIT COSTS,1,85,v1.0
chaos-space-marines,UNITS,CHAOS LORD WITH JUMP PACK,YOUR UNIT COSTS,1,90,v1.0
chaos-space-marines,UNITS,CHAOS PREDATOR ANNIHILATOR,YOUR 1ST TO 2ND UNITS COST,1,135,v1.0
chaos-space-marines,UNITS,CHAOS PREDATOR ANNIHILATOR,YOUR 3RD + UNIT COSTS,1,145,v1.0
chaos-space-marines,UNITS,CHAOS PREDATOR DESTRUCTOR,YOUR 1ST TO 2ND UNITS COST,1,140,v1.0
chaos-space-marines,UNITS,CHAOS PREDATOR DESTRUCTOR,YOUR 3RD + UNIT COSTS,1,150,v1.0
chaos-space-marines,UNITS,CHAOS RHINO,YOUR UNIT COSTS,1,75,v1.0
chaos-space-marines,UNITS,CHAOS SPAWN,YOUR UNIT COSTS,2,60,v1.0
chaos-space-marines,UNITS,CHAOS TERMINATOR SQUAD,YOUR UNIT COSTS,5,180,v1.0
chaos-space-marines,UNITS,CHAOS TERMINATOR SQUAD,YOUR UNIT COSTS,10,360,v1.0
chaos-space-marines,UNITS,CHAOS VINDICATOR,YOUR 1ST TO 2ND UNITS COST,1,185,v1.0
chaos-space-marines,UNITS,CHAOS VINDICATOR,YOUR 3RD + UNIT COSTS,1,195,v1.0
