weapon_name,wiki_title,wiki_url,confidence,notes
Empathic Obliterator,Empathic Obliterator,https://warhammer40k.fandom.com/wiki/Empathic_Obliterator,verified,named/relic article
Emperor’s Sword,,,needs_check,not in report anchor set; resolve via live wiki API
Encarmine blade,,,needs_check,not in report anchor set; resolve via live wiki API
Encarmine broadsword,,,needs_check,not in report anchor set; resolve via live wiki API
Encarmine spear,,,needs_check,not in report anchor set; resolve via live wiki API
Enforcer crew,,,needs_check,not in report anchor set; resolve via live wiki API
Enforcer melee weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Enforcer pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Enginseer axe,,,needs_check,not in report anchor set; resolve via live wiki API
Enmitic annihilator,,,needs_check,not in report anchor set; resolve via live wiki API
Enmitic disintegrator pistols,,,needs_check,not in report anchor set; resolve via live wiki API
Enmitic disintegrators,,,needs_check,not in report anchor set; resolve via live wiki API
Enmitic exterminator,,,needs_check,not in report anchor set; resolve via live wiki API
Enmity’s Edge,,,needs_check,not in report anchor set; resolve via live wiki API
Enormous claws,,,needs_check,not in report anchor set; resolve via live wiki API
Entropy cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Envenomed blade,,,needs_check,not in report anchor set; resolve via live wiki API
Eradication beamer,,,needs_check,not in report anchor set; resolve via live wiki API
Eradication caster,,,needs_check,not in report anchor set; resolve via live wiki API
Eradication ray,,,needs_check,not in report anchor set; resolve via live wiki API
Eradicator glove,,,needs_check,not in report anchor set; resolve via live wiki API
Eradicator nova cannon,,,needs_check,not in report anchor set; resolve via live wiki API
EtaCarn plasma beamer,,,needs_check,not in report anchor set; resolve via live wiki API
EtaCarn plasma gun,Plasma Gun,https://warhammer40k.fandom.com/wiki/Plasma_Gun,base_fallback,stripped prefix: etacarn
Eviscerator,Eviscerator,https://warhammer40k.fandom.com/wiki/Eviscerator,verified,base article
Exalted Seeker tongues,,,needs_check,not in report anchor set; resolve via live wiki API
Exalted chainblade,,,needs_check,not in report anchor set; resolve via live wiki API
Exalted weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Exarch’s Dragon fusion gun,,,needs_check,not in report anchor set; resolve via live wiki API
Exarch’s death spinner,,,needs_check,not in report anchor set; resolve via live wiki API
Exarch’s lasblaster,,,needs_check,not in report anchor set; resolve via live wiki API
Excruciator cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Excruciator maul,,,needs_check,not in report anchor set; resolve via live wiki API
Executioner,,,needs_check,not in report anchor set; resolve via live wiki API
Executioner greatblade,,,needs_check,not in report anchor set; resolve via live wiki API
Executioner pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Executioner plasma cannon,Plasma Cannon,https://warhammer40k.fandom.com/wiki/Plasma_Cannon,base_fallback,stripped prefix: executioner
Executioner relic blade,,,needs_check,not in report anchor set; resolve via live wiki API
Executioner shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Executioner’s demiklaives,,,needs_check,not in report anchor set; resolve via live wiki API
Exile cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Exitus pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Exitus rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Exoarmour grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Exorcist conflagration rockets,,,needs_check,not in report anchor set; resolve via live wiki API
Exorcist missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Experimental pulse submunitions rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Exterminator autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: exterminator
Eye of Wrath,,,needs_check,not in report anchor set; resolve via live wiki API
Eyeburst,,,needs_check,not in report anchor set; resolve via live wiki API
Eyez of Mork,,,needs_check,not in report anchor set; resolve via live wiki API
Farstalker firearm,,,needs_check,not in report anchor set; resolve via live wiki API
Fatecaster greatbow,,,needs_check,not in report anchor set; resolve via live wiki API
Fealty,,,needs_check,not in report anchor set; resolve via live wiki API
Feeder mandibles,,,needs_check,not in report anchor set; resolve via live wiki API
Fellblade accelerator cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Fellbore,,,needs_check,not in report anchor set; resolve via live wiki API
Fenrisian greataxe,,,needs_check,not in report anchor set; resolve via live wiki API
Ferocity,,,needs_check,not in report anchor set; resolve via live wiki API
Ferrumite cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Fidelis,,,needs_check,not in report anchor set; resolve via live wiki API
Fidelity,,,needs_check,not in report anchor set; resolve via live wiki API
Fire Axe,,,needs_check,not in report anchor set; resolve via live wiki API
Fire of Tzeentch,,,skip,psychic power / structural / limb profile
Fireblade pulse rifle,Pulse Rifle,https://warhammer40k.fandom.com/wiki/Pulse_Rifle,base_fallback,stripped prefix: fireblade
Firefury missile batteries,,,needs_check,not in report anchor set; resolve via live wiki API
Firepike,,,needs_check,not in report anchor set; resolve via live wiki API
Fires of the Abyss,,,needs_check,not in report anchor set; resolve via live wiki API
Firestorm scatter laser,,,needs_check,not in report anchor set; resolve via live wiki API
Fist of Dorn,,,needs_check,not in report anchor set; resolve via live wiki API
Fist of Retribution,,,needs_check,not in report anchor set; resolve via live wiki API
Fixit’s wrench,,,needs_check,not in report anchor set; resolve via live wiki API
Flail of corruption,Flail of Corruption,https://warhammer40k.fandom.com/wiki/Flail_of_Corruption,verified,named/relic article
Flamer,Flamer,https://warhammer40k.fandom.com/wiki/Flamer,verified,base article
Flamer mouths,,,needs_check,not in report anchor set; resolve via live wiki API
Flamer tendril,,,needs_check,not in report anchor set; resolve via live wiki API
Flamespurt,,,needs_check,not in report anchor set; resolve via live wiki API
Flamestorm cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Flamestorm gauntlets,,,needs_check,not in report anchor set; resolve via live wiki API
Flayer claws,,,needs_check,not in report anchor set; resolve via live wiki API
Flechette blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Flechette carbine,,,needs_check,not in report anchor set; resolve via live wiki API
Flechette launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Flechette pod,,,needs_check,not in report anchor set; resolve via live wiki API
Flensing claw,,,needs_check,not in report anchor set; resolve via live wiki API
Flensing whips,,,needs_check,not in report anchor set; resolve via live wiki API
Fleshborer,,,needs_check,not in report anchor set; resolve via live wiki API
Fleshborer hive,,,needs_check,not in report anchor set; resolve via live wiki API
Fleshmetal guns,,,needs_check,not in report anchor set; resolve via live wiki API
Fleshmetal weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Fleshmower,,,needs_check,not in report anchor set; resolve via live wiki API
Flickering Flames,,,skip,psychic power / structural / limb profile
Flurry of teeth and claws,,,skip,psychic power / structural / limb profile
Focused death ray,,,needs_check,not in report anchor set; resolve via live wiki API
Foehammer,,,needs_check,not in report anchor set; resolve via live wiki API
Force stave,,,needs_check,not in report anchor set; resolve via live wiki API
Force weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Force-orb cane,,,needs_check,not in report anchor set; resolve via live wiki API
Forge bolter,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: forge
Forge weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Forgefiend claws,,,needs_check,not in report anchor set; resolve via live wiki API
Forgefiend jaws,,,needs_check,not in report anchor set; resolve via live wiki API
Forgewrought plasma axe,,,needs_check,not in report anchor set; resolve via live wiki API
Foul balesword,,,needs_check,not in report anchor set; resolve via live wiki API
Foul mouthparts,,,needs_check,not in report anchor set; resolve via live wiki API
Frag bombard,,,needs_check,not in report anchor set; resolve via live wiki API
Frag cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Frag lance,,,needs_check,not in report anchor set; resolve via live wiki API
Fragdrill,,,needs_check,not in report anchor set; resolve via live wiki API
Fragmentation cluster shell launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Fragstorm grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Freedom’s Hand,,,needs_check,not in report anchor set; resolve via live wiki API
Frostfang,Frost Blade,https://warhammer40k.fandom.com/wiki/Frost_Blade,verified,named/relic article
Furioso fist,,,needs_check,not in report anchor set; resolve via live wiki API
Furioso force halberd,,,needs_check,not in report anchor set; resolve via live wiki API
Fury of the Ancients,,,needs_check,not in report anchor set; resolve via live wiki API
Fury of the Tempest,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion cascade,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion collider,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion eliminator,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion eradicator,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion gun,,,needs_check,not in report anchor set; resolve via live wiki API
Fusion pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Galatus warblade,,,needs_check,not in report anchor set; resolve via live wiki API
Galvanic carbine,,,needs_check,not in report anchor set; resolve via live wiki API
Galvanic caster,,,needs_check,not in report anchor set; resolve via live wiki API
Galvanic rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Gaping maw,,,needs_check,not in report anchor set; resolve via live wiki API
Gargantuan scything talons,,,needs_check,not in report anchor set; resolve via live wiki API
Garralisk's claws and teeth,,,skip,psychic power / structural / limb profile
Gatling psilencer,,,needs_check,not in report anchor set; resolve via live wiki API
Gauntlet of Fire,,,needs_check,not in report anchor set; resolve via live wiki API
Gauntlet of the Forge,,,needs_check,not in report anchor set; resolve via live wiki API
Gauntlets of Ultramar,,,needs_check,not in report anchor set; resolve via live wiki API
Gaunt’s chainsword,Chainsword,https://warhammer40k.fandom.com/wiki/Chainsword,base_fallback,stripped prefix: gaunt's
Gauss annihilator,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss blaster,Gauss Blaster,https://warhammer40k.fandom.com/wiki/Gauss_Blaster,verified,base article
Gauss cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss destructor,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss exterminator,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss flayer,Gauss Flayer,https://warhammer40k.fandom.com/wiki/Gauss_Flayer,verified,base article
Gauss flayer array,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss flux arc,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss reaper,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss scalpel,,,needs_check,not in report anchor set; resolve via live wiki API
Gauss slicers,,,needs_check,not in report anchor set; resolve via live wiki API
Gaze of Gork,,,skip,psychic power / structural / limb profile
Gaze of Hate,,,skip,psychic power / structural / limb profile
Gaze of Magnus,,,skip,psychic power / structural / limb profile
Gaze of death,,,skip,psychic power / structural / limb profile
Genestealer claws and talons,,,needs_check,not in report anchor set; resolve via live wiki API
Gheiststrike missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Ghostaxe,,,needs_check,not in report anchor set; resolve via live wiki API
Ghostglaive,,,needs_check,not in report anchor set; resolve via live wiki API
Ghostkeel fists,,,needs_check,not in report anchor set; resolve via live wiki API
Ghostspear,,,needs_check,not in report anchor set; resolve via live wiki API
Ghostswords,,,needs_check,not in report anchor set; resolve via live wiki API
Giga shoota,,,needs_check,not in report anchor set; resolve via live wiki API
Glacius,Frost Blade,https://warhammer40k.fandom.com/wiki/Frost_Blade,verified,named/relic article
Gladiatorial weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Glimmersteel blade,,,needs_check,not in report anchor set; resolve via live wiki API
Gnarlrod,,,needs_check,not in report anchor set; resolve via live wiki API
Gnashing maw,,,needs_check,not in report anchor set; resolve via live wiki API
Gnosis,,,needs_check,not in report anchor set; resolve via live wiki API
Goad lance,,,needs_check,not in report anchor set; resolve via live wiki API
Godhammer lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: godhammer
Godhammer lascannons,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: godhammer
Golden fists,,,needs_check,not in report anchor set; resolve via live wiki API
Gore-drenched fangs,,,needs_check,not in report anchor set; resolve via live wiki API
Gorechild,Gorefather and Gorechild,https://warhammer40k.fandom.com/wiki/Gorefather_and_Gorechild,verified,named/relic article
Gorestorm cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Gorgon mortar,,,needs_check,not in report anchor set; resolve via live wiki API
Gorgon’s Wrath,,,no_match,report: no standalone Fandom article
Gorin’ horns,,,needs_check,not in report anchor set; resolve via live wiki API
Gork’s Klaw,,,needs_check,not in report anchor set; resolve via live wiki API
Grabba dragga,,,needs_check,not in report anchor set; resolve via live wiki API
Grabbin’ klaw,,,needs_check,not in report anchor set; resolve via live wiki API
Grasping tail,,,needs_check,not in report anchor set; resolve via live wiki API
Grasping tongue,,,skip,psychic power / structural / limb profile
Grav-cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Grav-flux bombard,,,needs_check,not in report anchor set; resolve via live wiki API
Grav-gun,,,needs_check,not in report anchor set; resolve via live wiki API
Grav-pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton blast cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton crusher,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton hammer,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton pulsar,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Graviton singularity cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Great Knarloc beak and talons,,,needs_check,not in report anchor set; resolve via live wiki API
Great axe of Khorne,Great Axe of Khorne,https://warhammer40k.fandom.com/wiki/Great_Axe_of_Khorne,verified,named/relic article
Great cleaver of Khorne,Great Cleaver of Khorne,https://warhammer40k.fandom.com/wiki/Great_Cleaver_of_Khorne,verified,named/relic article
Great plague blade,,,needs_check,not in report anchor set; resolve via live wiki API
Great weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Great weapon of the Unforgiven,,,needs_check,not in report anchor set; resolve via live wiki API
Great wolf claw,,,needs_check,not in report anchor set; resolve via live wiki API
Greater plague probe,,,needs_check,not in report anchor set; resolve via live wiki API
Grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Grenadier gauntlet,,,needs_check,not in report anchor set; resolve via live wiki API
Griffon heavy mortar,,,needs_check,not in report anchor set; resolve via live wiki API
Grot blasta,,,needs_check,not in report anchor set; resolve via live wiki API
Grot crew,,,needs_check,not in report anchor set; resolve via live wiki API
Grot tank shoota,,,needs_check,not in report anchor set; resolve via live wiki API
Grot-guided bomm,,,needs_check,not in report anchor set; resolve via live wiki API
Grot-guided bomms,,,needs_check,not in report anchor set; resolve via live wiki API
Grotzooka,,,needs_check,not in report anchor set; resolve via live wiki API
Guardian salvo launchers,,,needs_check,not in report anchor set; resolve via live wiki API
Guardian spear,,,needs_check,not in report anchor set; resolve via live wiki API
Gunner’s servo-arms,,,needs_check,not in report anchor set; resolve via live wiki API
Gutrippa,,,needs_check,not in report anchor set; resolve via live wiki API
HYLas auto rifle,,,needs_check,not in report anchor set; resolve via live wiki API
HYLas beam cannon,,,needs_check,not in report anchor set; resolve via live wiki API
HYLas rotary cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hades autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: hades
Hades battle cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hades gatling cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hades lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: hades
Haemonculus tools and scissorhands,,,needs_check,not in report anchor set; resolve via live wiki API
Halberd of Caliban,,,needs_check,not in report anchor set; resolve via live wiki API
Hallowed Chainsword,Chainsword,https://warhammer40k.fandom.com/wiki/Chainsword,base_fallback,stripped prefix: hallowed
Hallowed mace,,,needs_check,not in report anchor set; resolve via live wiki API
Hammerfall heavy bolter array,,,needs_check,not in report anchor set; resolve via live wiki API
Hammerfall heavy flamer array,,,needs_check,not in report anchor set; resolve via live wiki API
Hammerfall missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Hammerstrike missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Hand flamer,Flamer,https://warhammer40k.fandom.com/wiki/Flamer,base_fallback,stripped prefix: hand
Hand of Defiance,,,needs_check,not in report anchor set; resolve via live wiki API
Hand of Dominion,,,needs_check,not in report anchor set; resolve via live wiki API
Harlequin’s blade,,,needs_check,not in report anchor set; resolve via live wiki API
Harlequin’s special weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Harrowhand,,,needs_check,not in report anchor set; resolve via live wiki API
Harvester cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hastarii arc blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Hastarii phosphor blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Havoc autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: havoc
Havoc heavy bolter,Heavy Bolter,https://warhammer40k.fandom.com/wiki/Heavy_Bolter,base_fallback,stripped prefix: havoc
Havoc lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: havoc
Havoc launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Havoc missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Havoc missile pod,,,needs_check,not in report anchor set; resolve via live wiki API
Havoc multi-launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Havoc reaper chaincannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hawk’s talon,,,needs_check,not in report anchor set; resolve via live wiki API
Haywire blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Heartstring lyre,,,needs_check,not in report anchor set; resolve via live wiki API
Heat cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heat lance,,,needs_check,not in report anchor set; resolve via live wiki API
Heat ray,,,needs_check,not in report anchor set; resolve via live wiki API
Heaven’s Teeth,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy D-scythe,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy arc rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy baleflamer,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy blight launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy bolt pistol,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,base_fallback,stripped prefix: heavy
Heavy bolt rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy bolter,Heavy Bolter,https://warhammer40k.fandom.com/wiki/Heavy_Bolter,verified,base article
Heavy burst cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy darkflamer,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy death ray,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy flamer,Heavy Flamer,https://warhammer40k.fandom.com/wiki/Heavy_Flamer,verified,base article
Heavy frag cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy gauss cannon array,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy grav-cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy incinerator,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: heavy
Heavy laser destroyer,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy magna-rail cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy melee weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy mining laser,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy mining tool,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy mortar,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy onslaught gatling cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy phosphor blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy plague weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy plasma axe,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy plasma cannon,Plasma Cannon,https://warhammer40k.fandom.com/wiki/Plasma_Cannon,base_fallback,stripped prefix: heavy
Heavy psycannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy quad launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy rail cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy rail cannon array,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy rail rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy reaper autocannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy seismic cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy slugger,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy stubber,Heavy Stubber,https://warhammer40k.fandom.com/wiki/Heavy_Stubber,verified,base article
Heavy thunder hammer,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy venom cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy volkanite disintegrator,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy warpflamer,,,needs_check,not in report anchor set; resolve via live wiki API
Heavy wraithcannon,,,needs_check,not in report anchor set; resolve via live wiki API
Heirloom pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Heirloom weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Hekatarii blade,,,needs_check,not in report anchor set; resolve via live wiki API
Hekaton siege claw,,,needs_check,not in report anchor set; resolve via live wiki API
Hekaton warhead,,,needs_check,not in report anchor set; resolve via live wiki API
Hekhtur’s pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Helbrute fist,,,needs_check,not in report anchor set; resolve via live wiki API
Helbrute hammer,,,needs_check,not in report anchor set; resolve via live wiki API
Helbrute plasma cannon,Plasma Cannon,https://warhammer40k.fandom.com/wiki/Plasma_Cannon,base_fallback,stripped prefix: helbrute
Heldrake claws,,,needs_check,not in report anchor set; resolve via live wiki API
Helfrost cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Helfrost destructor,,,needs_check,not in report anchor set; resolve via live wiki API
Helfrost pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Helios defence missiles,,,needs_check,not in report anchor set; resolve via live wiki API
Helios launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Hellblade,,,needs_check,not in report anchor set; resolve via live wiki API
Hellcrusher claws,,,needs_check,not in report anchor set; resolve via live wiki API
Hellfire Extremis,,,needs_check,not in report anchor set; resolve via live wiki API
Hellfire breath,,,needs_check,not in report anchor set; resolve via live wiki API
Hellfire plasma cannonade,,,needs_check,not in report anchor set; resolve via live wiki API
Hellflamer,,,needs_check,not in report anchor set; resolve via live wiki API
Hellforged weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Hellfyre missile rack,,,needs_check,not in report anchor set; resolve via live wiki API
Hellglaive,,,needs_check,not in report anchor set; resolve via live wiki API
Hellhammer cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hellmaw flame cannons,,,needs_check,not in report anchor set; resolve via live wiki API
Hellstorm autocannons,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: hellstorm
Hellstorm bolt rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Hellstrike missile,,,needs_check,not in report anchor set; resolve via live wiki API
Hellstrike missile battery,,,needs_check,not in report anchor set; resolve via live wiki API
Hellstrike missile rack,,,needs_check,not in report anchor set; resolve via live wiki API
Hellstrike missiles,,,needs_check,not in report anchor set; resolve via live wiki API
Helspear,,,needs_check,not in report anchor set; resolve via live wiki API
Helstalker autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: helstalker
Herakles-pattern autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: herakles-pattern
Herald combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Herald’s Talon,,,needs_check,not in report anchor set; resolve via live wiki API
Hexrifle,,,needs_check,not in report anchor set; resolve via live wiki API
Hideous mutations,,,skip,psychic power / structural / limb profile
Hierodule scything talons,,,needs_check,not in report anchor set; resolve via live wiki API
High-energy fusion blaster,,,needs_check,not in report anchor set; resolve via live wiki API
High-intensity plasma rifle,,,needs_check,not in report anchor set; resolve via live wiki API
High-output burst cannon,,,needs_check,not in report anchor set; resolve via live wiki API
High-yield missile pods,,,needs_check,not in report anchor set; resolve via live wiki API
Holy Eviscerator,Eviscerator,https://warhammer40k.fandom.com/wiki/Eviscerator,base_fallback,stripped prefix: holy
Holy fire,,,needs_check,not in report anchor set; resolve via live wiki API
Holy pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Honour stave,,,needs_check,not in report anchor set; resolve via live wiki API
Hormagaunt talons,,,needs_check,not in report anchor set; resolve via live wiki API
Hornet pulse laser,,,needs_check,not in report anchor set; resolve via live wiki API
Hot-shot lascarbine,,,needs_check,not in report anchor set; resolve via live wiki API
Hot-shot lasgun,,,needs_check,not in report anchor set; resolve via live wiki API
Hot-shot laspistol,,,needs_check,not in report anchor set; resolve via live wiki API
Hot-shot long-las,,,needs_check,not in report anchor set; resolve via live wiki API
Hot-shot marksman rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Hot-shot volley gun,,,needs_check,not in report anchor set; resolve via live wiki API
Household pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Huge knife,,,needs_check,not in report anchor set; resolve via live wiki API
Huge tusks,,,needs_check,not in report anchor set; resolve via live wiki API
Hunter-killer missile,,,needs_check,not in report anchor set; resolve via live wiki API
Hunter-slayer missile,,,needs_check,not in report anchor set; resolve via live wiki API
Hunting javelin,,,needs_check,not in report anchor set; resolve via live wiki API
Hunting lance,,,needs_check,not in report anchor set; resolve via live wiki API
Hurricane bolter,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: hurricane
Huskblade,,,needs_check,not in report anchor set; resolve via live wiki API
Hybrid firearm,,,needs_check,not in report anchor set; resolve via live wiki API
Hydra autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: hydra
Hydra quad autocannon,,,needs_check,not in report anchor set; resolve via live wiki API
Hydraulic claw,,,needs_check,not in report anchor set; resolve via live wiki API
Hydraulic vox-ram,,,needs_check,not in report anchor set; resolve via live wiki API
Hyper blight grenades,,,needs_check,not in report anchor set; resolve via live wiki API
Hyperphase harvester,,,needs_check,not in report anchor set; resolve via live wiki API
Hyperphase sword,,,needs_check,not in report anchor set; resolve via live wiki API
Icarus array,,,needs_check,not in report anchor set; resolve via live wiki API
Icarus lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: icarus
Icarus rocket pod,,,needs_check,not in report anchor set; resolve via live wiki API
Icarus stormcannon,,,needs_check,not in report anchor set; resolve via live wiki API
Ichor cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Icon of da Revolushun,,,needs_check,not in report anchor set; resolve via live wiki API
Iliastus accelerator culverin,,,needs_check,not in report anchor set; resolve via live wiki API
Immolation flamers,Flamer,https://warhammer40k.fandom.com/wiki/Flamer,base_fallback,stripped prefix: immolation
Impaler cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Impaler chainglaive,,,needs_check,not in report anchor set; resolve via live wiki API
Impaler harpoon,,,needs_check,not in report anchor set; resolve via live wiki API
Impaling legs,,,needs_check,not in report anchor set; resolve via live wiki API
Improvised weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Incendine combustor,,,needs_check,not in report anchor set; resolve via live wiki API
